City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,belabo,4.9333,13.3,71.2,97,58,0.72,CM,1684705402
1,port-aux-francais,-49.35,70.2167,43.92,89,92,30.4,TF,1684705402
2,invercargill,-46.4,168.35,45.14,76,100,4.85,NZ,1684705402
3,kolonia town,6.964,158.206,82.51,89,100,3.44,FM,1684705402
4,albany,42.6001,-73.9662,73.17,50,9,1.01,US,1684705402
5,port elizabeth,-33.918,25.5701,56.1,90,40,12.66,ZA,1684705402
6,iqaluit,63.7506,-68.5145,20.93,62,75,15.01,CA,1684705396
7,adamstown,-25.066,-130.1015,75.92,81,97,17.81,PN,1684705402
8,grytviken,-54.2811,-36.5092,30.16,67,90,8.5,GS,1684705402
9,mount pearl,47.5166,-52.7813,53.94,74,75,21.85,CA,1684705402
10,bethel,41.3712,-73.414,70.02,60,100,12.66,US,1684705403
11,whitehorse,60.7161,-135.0538,61.57,35,100,4.61,CA,1684705403
12,carnarvon,-24.8667,113.6333,65.89,34,54,11.99,AU,1684705403
13,arkalyk,50.2486,66.9114,55.67,45,76,10.54,KZ,1684705403
14,mount darwin,-16.7725,31.5838,62.04,69,4,3.15,ZW,1684705403
15,rio grande,-32.035,-52.0986,66.31,93,100,6.15,BR,1684705403
16,nar'yan-mar,67.6713,53.087,50.52,78,58,5.68,RU,1684705403
17,saipan,15.1355,145.701,83.64,100,20,9.22,MP,1684705403
18,anadyr,64.75,177.4833,39.7,80,100,4.47,RU,1684705403
19,jamestown,42.097,-79.2353,69.53,45,0,12.66,US,1684705148
20,selfoss,63.9331,-20.9971,39.04,62,88,24.4,IS,1684705403
21,lerwick,60.1545,-1.1494,42.8,81,33,3.56,GB,1684705403
22,port mathurin,-19.6833,63.4167,76.55,73,1,4.5,MU,1684705404
23,kromy,52.6876,35.7667,47.35,87,98,7.27,RU,1684705404
24,constantia,44.1833,28.65,57.88,79,100,14.76,RO,1684705205
25,deir ez-zor,35.3359,40.1408,76.03,30,56,4.09,SY,1684705404
26,narasapur,16.45,81.6667,82.06,88,4,6.89,IN,1684705404
27,rancho palos verdes,33.7445,-118.387,81.99,83,40,12.66,US,1684705404
28,blackmans bay,-43.0167,147.3167,53.73,73,81,9.04,AU,1684705404
29,ushuaia,-54.8,-68.3,37.06,65,40,5.75,AR,1684705338
30,cidade velha,14.9167,-23.6167,73.87,73,75,13.8,CV,1684705404
31,as sulayyil,20.4607,45.5779,86.25,28,15,8.43,SA,1684705404
32,waitangi,-43.9535,-176.5597,54.82,79,74,13.0,NZ,1684705392
